RamanShift,0.625 mg/mL IgG1,1.25 mg/mL IgG1,2.5 mg/mL IgG1,5 mg/mL IgG1,10 mg/mL IgG1
2637,21809.85916,21552.85593,22603.58375,25250.04659,31425.36648
2636,21772.0468,21564.59184,22577.08312,25249.53576,31392.41198
2635,21755.83369,21556.86767,22525.95828,25301.85056,31376.40587
2634,21765.69521,21561.38035,22494.04244,25337.95083,31382.45378
2633,21769.27833,21583.595,22502.31099,25329.26689,31398.59249
2632,21736.09218,21588.07263,22505.44616,25315.79889,31411.47898
2631,21682.31429,21546.96866,22449.13766,25335.06469,31417.06813
2630,21658.89776,21487.29196,22353.59883,25371.56497,31420.37084
2629,21691.77397,21467.19471,22307.78021,25386.62347,31426.14979
2628,21750.01082,21509.15823,22375.03928,25364.01836,31430.36581
2627,21781.40375,21576.93277,22522.09079,25315.73425,31423.50457
2626,21768.15,21616.73805,22649.14245,25262.67496,31405.55157
2625,21737.41231,21603.30625,22681.6594,25215.37921,31393.3007
2624,21723.42918,21549.32252,22628.0599,25167.39881,31401.44913
2623,21730.37869,21491.63122,22557.47728,25113.3427,31417.08012
2622,21733.17462,21469.0704,22530.65209,25073.90684,31411.51489
2621,21708.18177,21494.40275,22550.13237,25083.68729,31384.70676
2620,21659.70521,21542.00571,22570.01318,25146.54013,31376.20392
2619,21616.69673,21570.98629,22550.72381,25222.53291,31415.81459
2618,21602.59362,21558.46002,22502.80692,25270.71652,31482.27158
2617,21609.45454,21507.48436,22474.47966,25288.91724,31531.87294
2616,21608.66799,21439.28252,22497.31001,25299.67332,31553.32555
2615,21589.47154,21392.17835,22551.0956,25311.35555,31570.03425
2614,21573.68508,21409.68885,22585.43594,25310.86021,31596.41676
2613,21580.73146,21500.09126,22569.46185,25291.17626,31614.88766
2612,21592.6553,21609.22661,22515.48412,25269.77339,31596.47788
2611,21578.86096,21658.89636,22462.04565,25270.52828,31533.13472
2610,21550.58537,21623.61177,22443.78213,25292.98335,31454.23937
2609,21559.36048,21558.06321,22470.74215,25311.58679,31415.63789
2608,21631.23596,21537.7732,22520.71016,25307.48409,31453.98777
2607,21727.27487,21576.18777,22552.01264,25288.71284,31535.60811
2606,21786.77701,21611.36176,22541.47937,25272.18823,31569.3331
2605,21792.815,21578.45511,22514.4983,25260.56925,31499.63725
2604,21773.90317,21483.9973,22519.28568,25252.08877,31379.84182
2603,21750.82038,21394.90302,22560.49067,25259.80305,31320.24081
2602,21710.92507,21362.24593,22577.04434,25295.33156,31361.57507
2601,21644.25089,21379.84669,22507.8026,25336.9154,31435.64978
2600,21581.79961,21416.16067,22371.7783,25342.78342,31463.53536
2599,21571.41334,21451.41149,22260.22065,25305.20654,31452.72332
2598,21619.15289,21468.02309,22247.18069,25267.54997,31463.78973
2597,21679.09419,21441.24504,22324.01541,25273.94999,31509.98797
2596,21707.56289,21374.52631,22423.73723,25320.79689,31537.55105
2595,21707.03374,21323.89991,22491.33146,25372.34016,31499.02334
2594,21707.07609,21349.11403,22520.79553,25404.64969,31405.07825
2593,21721.07973,21444.66642,22535.84616,25414.86077,31301.6842
2592,21736.07298,21545.43097,22549.80151,25403.84454,31230.3145
2591,21732.61015,21595.21869,22548.92101,25373.51171,31214.37949
2590,21703.34143,21589.53928,22514.85847,25331.36695,31250.63652
2589,21660.70922,21561.81735,22459.84952,25278.88021,31302.0177
2588,21630.81285,21552.34075,22426.56447,25207.66215,31323.10864
2587,21629.13914,21581.79273,22442.21852,25125.55945,31303.71213
2586,21643.124,21629.08565,22482.38543,25069.97842,31271.45907
2585,21652.62541,21639.71293,22498.42266,25071.33804,31249.79336
2584,21661.30889,21579.34734,22477.45082,25116.65664,31234.68691
2583,21685.40785,21477.80785,22455.13388,25171.28796,31217.49805
2582,21716.07649,21402.3331,22466.60239,25219.9992,31209.05445
2581,21721.56071,21391.71803,22505.38261,25262.08277,31228.08011
2580,21689.46553,21432.0559,22540.00401,25286.41584,31275.51861
2579,21641.79227,21487.8705,22555.1672,25285.38374,31330.58602
2578,21604.82988,21533.82064,22563.64023,25280.77815,31372.2865
2577,21588.10683,21558.0505,22586.32708,25301.83755,31402.62723
2576,21596.45911,21558.57889,22629.355,25343.76362,31443.21771
2575,21636.78368,21546.26288,22674.0613,25375.97147,31501.15736
2574,21701.03004,21539.53041,22686.91054,25382.98606,31544.82274
2573,21759.48848,21546.08795,22652.5005,25369.85181,31532.26206
2572,21784.52146,21551.86421,22600.7571,25338.50825,31463.96507
2571,21776.39734,21534.03477,22582.9531,25294.02709,31385.82913
2570,21760.69924,21490.0613,22611.66993,25270.10117,31337.00576
2569,21761.06397,21454.97723,22645.76458,25308.38232,31320.41265
2568,21773.84702,21480.06666,22651.25006,25399.68321,31330.79752
2567,21772.19495,21580.30356,22653.96736,25475.24634,31377.6797
2566,21742.5973,21704.32299,22701.95809,25477.94217,31459.11848
2565,21713.61361,21774.36745,22787.48424,25427.13664,31539.62759
2564,21732.53689,21763.77082,22842.91954,25392.37969,31583.29281
2563,21811.67588,21721.79965,22818.98956,25411.26932,31594.64021
2562,21912.22102,21712.3735,22739.14927,25456.2234,31602.68224
2561,21981.73327,21741.35045,22665.32538,25483.3322,31616.96606
2560,21991.77975,21760.12065,22632.94085,25488.83742,31625.32077
2559,21944.26914,21733.20022,22635.98755,25502.78026,31628.07231
2558,21869.01363,21681.99076,22657.08179,25543.51956,31646.43752
2557,21817.88969,21657.24596,22684.72325,25598.15035,31689.73813
2556,21829.55343,21681.87224,22703.97169,25638.66678,31730.57248
2555,21886.22909,21730.1265,22697.40065,25639.9394,31726.29661
2554,21929.26307,21758.87931,22668.94399,25591.70919,31668.65234
2553,21928.75282,21751.77203,22653.24029,25515.08625,31608.58863
2552,21914.04086,21731.41097,22686.25436,25462.78002,31618.10542
2551,21925.12046,21731.60854,22770.35073,25481.20093,31712.53194
2550,21962.7681,21761.15143,22875.57381,25569.48528,31818.58896
2549,22004.37983,21795.96858,22965.7971,25684.25367,31843.64237
2548,22041.08961,21805.67825,23013.17906,25775.215,31778.90337
2547,22073.00576,21787.17872,23001.87531,25806.88893,31709.28827
2546,22088.40852,21771.61221,22943.51792,25768.0239,31712.41438
2545,22079.10623,21794.16205,22887.71807,25686.36716,31773.15576
2544,22066.96017,21853.17167,22889.76653,25620.35605,31814.47576
2543,22085.29914,21906.22893,22954.10344,25607.48195,31792.06635
2542,22134.08574,21917.77943,23023.55865,25628.42322,31735.61876
2541,22177.5102,21903.84972,23036.32578,25644.74569,31709.31118
2540,22190.23858,21910.71933,22986.54479,25657.42364,31755.14335
2539,22186.27543,21952.47927,22922.6675,25696.07011,31869.43597
2538,22194.78508,21996.6999,22896.78415,25759.24599,32010.93169
2537,22224.84057,22016.56143,22925.34986,25802.78648,32126.85624
2536,22265.84727,22026.6527,22990.20681,25793.04426,32186.46608
2535,22308.61924,22052.78468,23060.93674,25746.06577,32197.92611
2534,22347.6661,22094.94151,23112.78479,25707.56227,32189.84676
2533,22368.70853,22139.72891,23134.32436,25711.46076,32179.55135
2532,22355.08945,22183.09553,23128.20377,25759.30929,32167.91056
2531,22312.14613,22216.66896,23105.43285,25823.192,32160.35503
2530,22271.15922,22216.21051,23077.36092,25866.68579,32174.10878
2529,22260.66236,22174.19428,23055.64447,25876.322,32215.61161
2528,22281.02299,22127.38929,23059.1273,25873.07976,32261.79366
2527,22311.8685,22120.86416,23107.22695,25884.69176,32276.97252
2526,22335.86091,22153.63473,23191.65991,25914.98051,32247.83106
2525,22349.63451,22187.28721,23260.83614,25953.3778,32197.18357
2524,22359.27494,22202.52197,23257.29618,26001.568,32167.13695
2523,22371.71366,22219.38042,23183.5242,26065.52603,32191.62592
2522,22386.58577,22258.78989,23115.32097,26125.64543,32274.73425
2521,22395.06399,22306.43361,23130.64391,26144.44821,32383.54482
2520,22392.61887,22327.34202,23228.32161,26113.88333,32467.1556
2519,22389.38032,22310.40619,23332.45895,26074.32064,32495.59337
2518,22393.90311,22289.21455,23376.35165,26072.91236,32479.9304
2517,22389.06849,22312.82429,23366.2927,26115.87329,32449.71726
2516,22348.25056,22393.66515,23358.17926,26174.16189,32422.69244
2515,22285.11764,22489.67417,23387.3909,26224.22945,32409.90811
2514,22262.40132,22542.98365,23436.8147,26264.00284,32432.37924
2513,22326.5487,22530.6132,23467.1227,26291.32198,32499.88795
2512,22444.55438,22473.00062,23460.5399,26288.58478,32577.07294
2511,22531.88798,22406.23959,23430.84611,26244.40282,32608.06189
2510,22543.27445,22360.24427,23404.64904,26185.02626,32585.11365
2509,22514.54163,22352.6664,23402.96079,26166.67969,32560.22975
2508,22509.05391,22381.04648,23431.81314,26224.307,32573.03923
2507,22542.44312,22418.79059,23476.8074,26330.15261,32601.13375
2506,22577.02548,22433.76665,23509.28872,26414.54324,32609.38888
2505,22582.14039,22416.11404,23511.86828,26433.51074,32617.79238
2504,22578.07953,22384.39811,23501.37184,26410.12822,32675.41401
2503,22609.39802,22368.73918,23515.55968,26403.00052,32776.6738
2502,22684.58874,22391.49595,23569.84255,26440.92068,32850.87316
2501,22759.62204,22452.81092,23633.32921,26499.94272,32847.72464
2500,22785.55783,22524.15973,23656.08473,26540.93756,32800.6334
2499,22759.95857,22565.50425,23619.94575,26553.3707,32783.89365
2498,22721.56169,22562.24449,23558.3894,26557.33275,32826.58187
2497,22704.81687,22540.19849,23526.82208,26576.13517,32892.16479
2496,22716.0649,22534.04344,23555.65734,26615.54993,32934.80266
2495,22749.24833,22547.48416,23630.06112,26660.71738,32952.24973
2494,22801.3557,22555.90845,23709.58844,26685.76404,32976.87538
2493,22863.20854,22542.47399,23764.23894,26675.26674,33027.6878
2492,22912.95114,22518.15595,23793.47803,26644.12136,33083.926
2491,22936.03671,22506.97817,23815.15437,26627.58227,33107.95746
2490,22944.9871,22521.99772,23840.89419,26643.63821,33088.31619
2489,22964.07541,22557.97395,23865.09821,26673.97752,33052.07943
2488,22995.83806,22601.17132,23875.65143,26689.28556,33033.34825
2487,23015.1906,22642.97529,23868.77125,26682.44443,33039.59769
2486,22998.72768,22685.0055,23849.8135,26668.35424,33058.65712
2485,22951.19015,22732.02058,23825.06542,26664.33756,33088.92579
2484,22900.87836,22782.01287,23800.83816,26682.79223,33139.89153
2483,22875.81454,22826.12286,23788.40891,26729.22914,33198.76876
2482,22885.98119,22856.63054,23798.2646,26790.20576,33221.29592
2481,22921.19938,22870.58897,23824.73181,26832.70379,33177.55509
2480,22960.93175,22867.48976,23846.00116,26833.77982,33097.73829
2479,22989.40992,22851.45578,23849.22534,26806.20086,33049.75483
2478,23005.6436,22838.548,23851.05005,26781.40397,33069.11503
2477,23017.93124,22854.23775,23881.63961,26775.43852,33127.41795
2476,23027.38059,22913.30485,23946.98048,26787.04689,33175.07652
2475,23020.99339,22998.5192,24016.62972,26817.07503,33198.68518
2474,22987.24728,23064.51319,24054.33703,26863.43913,33223.13163
2473,22939.21032,23073.09556,24055.7282,26899.51462,33266.80698
2472,22915.27487,23030.50342,24049.57602,26887.89908,33314.86129
2471,22949.05404,22984.30971,24064.39444,26829.21331,33342.15518
2470,23037.41987,22975.87775,24100.9209,26778.45861,33348.7599
2469,23142.64138,22999.93212,24138.50159,26794.35505,33359.35033
2468,23226.80047,23020.89316,24161.34546,26877.98117,33391.68288
2467,23278.44239,23024.02247,24171.93757,26974.7,33440.2209
2466,23304.33896,23031.78551,24181.07901,27033.56754,33493.58006
2465,23306.93733,23065.11029,24192.59811,27051.05888,33553.48188
2464,23283.24312,23106.91624,24200.54856,27054.00789,33624.79904
2463,23243.46429,23119.38765,24196.78545,27055.5884,33694.32516
2462,23215.56641,23090.18737,24178.40277,27045.97507,33734.35198
2461,23223.17756,23048.39642,24152.17642,27024.29397,33729.87361
2460,23263.92584,23036.1324,24135.73975,27017.3297,33694.75928
2459,23313.83258,23071.72318,24149.43961,27048.88637,33658.15527
2458,23348.63875,23138.28263,24198.56717,27099.51219,33637.92358
2457,23358.79175,23201.49262,24263.09286,27120.21872,33627.91549
2456,23352.528,23239.2397,24311.45903,27091.98644,33609.55309
2455,23351.81201,23258.20635,24327.52419,27053.96841,33576.73237
2454,23376.95179,23280.96501,24321.36311,27060.95006,33549.03895
2453,23421.54415,23315.62461,24313.86003,27125.61732,33555.94364
2452,23445.98142,23342.13447,24315.95306,27217.07844,33607.15751
2451,23413.98968,23332.6463,24323.77663,27304.179,33684.21926
2450,23342.10166,23285.13784,24327.32307,27377.13567,33761.18476
2449,23296.83052,23235.04173,24320.51332,27428.48254,33823.13392
2448,23327.14116,23230.52405,24309.05696,27439.75862,33860.54201
2447,23406.50266,23289.91895,24312.55272,27402.90067,33859.87862
2446,23457.64811,23380.28588,24350.92142,27343.44296,33815.09344
2445,23434.73009,23444.58073,24420.67017,27307.32089,33744.97445
2444,23369.05834,23456.7213,24490.89988,27323.90477,33685.94054
2443,23332.54631,23443.9509,24533.01417,27383.70636,33664.13646
2442,23367.58487,23447.63905,24548.85711,27445.89781,33679.10595
2441,23455.97421,23472.47276,24556.89534,27466.35841,33713.44513
2440,23545.50914,23490.86795,24556.79347,27431.29067,33752.39047
2439,23599.37081,23491.40704,24529.09149,27373.08233,33794.91683
2438,23624.42743,23497.73332,24473.50083,27345.61153,33852.7066
2437,23656.87037,23531.42779,24424.92667,27374.51555,33939.35115
2436,23718.90187,23576.47425,24417.27492,27436.2536,34053.06799
2435,23789.12306,23597.07414,24446.42337,27491.0901,34164.6033
2434,23819.33739,23580.99887,24485.38597,27526.05494,34227.18435
2433,23780.66754,23550.22436,24523.59061,27553.97438,34209.89531
2432,23690.13289,23534.39591,24568.79294,27580.55071,34128.45177
2431,23596.48646,23548.39553,24615.6791,27593.64687,34040.72705
2430,23548.10729,23592.09275,24639.80234,27587.58052,34005.31836
2429,23568.72512,23653.67921,24632.43771,27580.2588,34041.28674
2428,23645.8654,23708.20592,24623.76065,27594.76029,34126.82758
2427,23736.26971,23727.72568,24655.82886,27631.75078,34229.08091
2426,23796.01209,23704.57587,24737.70624,27671.16336,34324.61388
2425,23816.59683,23660.33131,24836.38628,27698.54728,34394.95732
2424,23826.74194,23626.81256,24908.5096,27719.26124,34423.74271
2423,23854.84959,23624.17884,24935.10346,27744.8491,34413.8992
2422,23900.08665,23659.48051,24930.62921,27776.32914,34398.10952
2421,23946.52928,23731.1553,24926.7661,27810.62076,34412.17738
2420,23990.50529,23820.5541,24945.22988,27857.47651,34455.52795
2419,24037.07623,23889.34267,24978.86705,27933.52958,34493.05093
2418,24077.9737,23907.34116,25000.64579,28033.02517,34502.2574
2417,24095.21058,23885.67278,24997.70313,28116.90073,34504.51229
2416,24089.5549,23867.08243,24992.62462,28145.82989,34536.03131
2415,24087.99821,23880.06073,25019.04542,28122.39581,34596.22237
2414,24114.68998,23916.20196,25075.89329,28088.68404,34643.40306
2413,24165.04319,23955.77816,25121.43423,28080.55025,34643.97686
2412,24215.68317,23997.32953,25121.96896,28094.75134,34609.81331
2411,24250.80006,24049.74076,25094.39712,28105.15503,34578.57547
2410,24271.11636,24108.46754,25085.68276,28100.61659,34571.11634
2409,24285.71563,24157.30067,25116.7958,28097.32105,34584.47828
2408,24305.35354,24189.75867,25165.1378,28119.02453,34619.86562
2407,24338.12937,24213.61064,25202.82165,28174.91781,34694.51109
2406,24380.18891,24233.42583,25232.92443,28254.73029,34815.6824
2405,24412.09973,24241.64139,25277.68118,28335.13952,34954.63304
2404,24414.18222,24232.47438,25344.12672,28389.72543,35060.6889
2403,24387.1154,24216.52278,25416.2009,28403.62774,35102.98135
2402,24353.17835,24213.78972,25475.76468,28386.33678,35094.39164
2401,24340.08797,24234.0099,25517.67926,28366.53747,35075.33717
2400,24368.5535,24268.68463,25543.68505,28369.51882,35077.78832
2399,24446.15213,24302.04889,25552.79684,28401.5558,35105.07877
2398,24555.2622,24325.51405,25543.0839,28456.03026,35142.36259
2397,24646.35609,24339.90713,25517.75658,28524.65148,35180.51333
2396,24665.13088,24347.91363,25485.45832,28595.24018,35224.15644
2395,24603.77646,24350.42928,25457.61103,28647.7596,35276.13264
2394,24519.0783,24351.22215,25448.39169,28668.21342,35322.7734
2393,24484.67494,24359.26905,25472.94583,28668.03381,35344.89433
2392,24523.53604,24381.13758,25536.89978,28678.38256,35343.63837
2391,24594.45985,24413.40344,25623.5023,28719.09267,35346.11915
2390,24643.5204,24448.42599,25697.01474,28777.01232,35379.03526
2389,24659.03795,24486.59897,25730.15834,28817.87695,35439.69943
2388,24673.13209,24534.95665,25733.03567,28817.87896,35498.58805
2387,24717.74666,24590.96662,25747.94329,28784.51777,35530.03717
2386,24787.72249,24636.11827,25807.41552,28750.83685,35535.79061
2385,24847.22278,24654.32237,25899.627,28750.1048,35536.9245
2384,24867.40942,24654.38186,25981.60358,28792.66201,35547.6934
2383,24853.80295,24666.09784,26023.11993,28863.75436,35564.81321
2382,24836.80855,24712.37313,26028.75787,28939.57932,35583.69358
2381,24840.1627,24788.66111,26020.84321,29001.837,35615.19842
2380,24863.60997,24867.74211,26016.96867,29041.85682,35673.35045
2379,24894.23026,24918.23902,26028.95751,29062.70794,35746.39024
2378,24926.15702,24921.68482,26067.8104,29079.27545,35795.50632
2377,24965.12617,24885.77202,26134.39364,29103.97843,35795.09384
2376,25018.60011,24847.79182,26209.14662,29127.59635,35768.56357
2375,25085.32608,24853.67112,26262.16549,29128.24943,35769.73074
2374,25150.67649,24919.16023,26274.57038,29108.7492,35826.76551
2373,25190.34327,25011.96453,26247.90032,29110.38113,35915.22061
2372,25187.31493,25080.80393,26200.16547,29172.07246,35989.96317
2371,25153.40138,25102.87664,26160.39223,29281.96958,36033.66783
2370,25127.90239,25097.97113,26158.68574,29385.19679,36067.55596
2369,25142.96277,25099.46552,26205.9464,29436.83167,36123.55073
2368,25190.1568,25121.10185,26281.50626,29435.03555,36215.99958
2367,25230.63409,25152.43978,26350.9202,29408.56019,36334.4184
2366,25239.49931,25177.03512,26398.96105,29390.61729,36449.83839
2365,25231.49154,25190.28866,26439.08377,29405.24794,36527.64874
2364,25240.22831,25203.73294,26490.76028,29459.68705,36548.31798
2363,25281.06545,25233.58575,26555.30609,29540.13873,36525.61103
2362,25341.22157,25281.72978,26614.14198,29624.02498,36500.70707
2361,25401.32857,25330.20019,26642.85065,29702.32379,36509.87519
2360,25457.73248,25361.7654,26628.01885,29782.51748,36553.75079
2359,25521.60697,25383.3591,26581.98227,29865.83385,36597.18734
2358,25600.20563,25416.68822,26543.72163,29931.32956,36599.50936
2357,25683.18744,25464.93375,26553.42728,29951.647,36549.47583
2356,25749.5746,25506.29801,26619.1311,29921.96713,36477.55069
2355,25787.70604,25530.31802,26714.41391,29867.87711,36435.65765
2354,25805.04226,25563.87228,26809.69848,29825.68854,36460.11571
2353,25816.43484,25640.78074,26893.19119,29817.34718,36548.90101
2352,25826.64601,25751.85969,26957.91664,29841.51817,36670.29822
2351,25829.64581,25847.1847,26988.96602,29884.11789,36787.16744
2350,25823.1911,25891.15827,26983.16042,29935.38807,36871.21058
2349,25816.84377,25897.3466,26971.87929,29995.94881,36906.91615
2348,25823.71249,25901.6624,27000.61383,30065.87273,36900.67614
2347,25849.8807,25917.94152,27080.58719,30131.7941,36887.59725
2346,25894.7917,25934.24797,27173.2599,30173.08348,36910.91046
2345,25956.55869,25942.95362,27227.94362,30185.50968,36982.07142
2344,26031.28563,25956.26206,27228.18954,30193.77325,37069.40421
2343,26109.56335,25990.67132,27200.64454,30230.70712,37136.11647
2342,26179.44857,26047.48528,27187.0381,30300.52373,37181.4116
2341,26233.6286,26112.7335,27209.81647,30369.35906,37231.99307
2340,26270.75084,26170.47294,27257.68036,30399.55102,37300.7528
2339,26290.3542,26212.7642,27300.47495,30390.16171,37371.54684
2338,26291.47303,26239.64349,27321.32724,30375.3772,37424.13185
2337,26282.07151,26256.16666,27337.99996,30388.73772,37459.73787
2336,26297.73267,26283.51302,27400.62159,30453.71361,37507.95673
2335,26419.96042,26390.2581,27584.4684,30625.90127,37637.8475
2334,26770.05895,26706.78147,27986.63334,31020.50916,37968.33901
2333,27447.32716,27360.62815,28689.34844,31742.26592,38617.93293
2332,28419.94812,28337.62512,29664.97269,32746.9207,39576.94696
2331,29455.00458,29392.40491,30695.63832,33777.53165,40612.44755
2330,30192.97199,30141.38871,31430.69009,34476.97804,41346.48578
2329,30357.80258,30303.70801,31590.65761,34606.32081,41491.43543
2328,29939.75015,29883.64816,31155.21791,34187.70917,41045.84178
2327,29184.30732,29132.22792,30363.46178,33461.627,40274.4599
2326,28402.72883,28348.42243,29535.63947,32714.63232,39504.2756
2325,27787.02719,27717.65431,28886.03982,32123.84602,38928.77055
2324,27373.2354,27292.6174,28466.2123,31716.60009,38565.00262
2323,27120.4158,27052.97937,28228.01919,31435.5279,38341.6369
2322,26982.72864,26947.01135,28106.89772,31229.80533,38199.50485
2321,26922.37258,26907.29383,28057.63383,31097.69747,38124.00685
2320,26904.09841,26879.67845,28048.41757,31062.15602,38118.21281
2319,26906.02069,26856.63202,28051.27658,31121.30216,38170.28936
2318,26927.29817,26869.28962,28049.33066,31230.29826,38249.38262
2317,26972.15679,26937.44997,28048.93771,31329.87343,38322.42456
2316,27031.15515,27033.5111,28073.2454,31386.34225,38367.72696
2315,27086.53647,27100.45749,28135.37159,31403.33173,38378.27726
2314,27130.96519,27101.65339,28219.16828,31403.19059,38364.78517
2313,27170.58824,27051.56596,28291.79711,31404.68237,38357.89061
2312,27209.61869,27002.3918,28334.4584,31415.2052,38392.9429
2311,27240.66731,27001.6407,28355.67329,31434.10394,38477.64338
2310,27254.58974,27056.36921,28376.18505,31457.6504,38575.83784
2309,27255.03295,27133.38693,28409.41508,31482.54116,38634.18921
2308,27257.13125,27193.98655,28458.40331,31507.97767,38629.80521
2307,27272.61773,27227.92313,28521.74205,31536.3344,38590.75462
2306,27302.22996,27252.47495,28593.50054,31573.35981,38572.23567
2305,27344.40414,27283.7976,28660.49257,31626.88625,38614.59316
2304,27403.24634,27318.97608,28708.4113,31700.00793,38716.64631
2303,27478.5681,27346.96152,28733.64573,31781.56937,38839.07086
2302,27551.45973,27366.22821,28746.78177,31848.33806,38934.82343
2301,27594.22609,27384.29821,28763.70136,31885.77913,38985.7249
2300,27601.68212,27406.13761,28793.71908,31907.7416,39011.88299
2299,27603.13739,27432.00519,28834.03852,31947.61116,39042.64216
2298,27632.4165,27465.00258,28872.55362,32025.28781,39084.11841
2297,27689.93796,27512.98712,28896.93555,32126.98414,39124.55164
2296,27745.21703,27581.07272,28904.88587,32220.83088,39164.887
2295,27775.36159,27664.84245,28907.66143,32287.46976,39224.36146
2294,27788.65059,27750.15183,28923.22214,32330.53101,39309.77072
2293,27806.61328,27818.43203,28964.67781,32362.40999,39394.58903
2292,27835.01863,27858.47264,29032.36969,32389.56992,39441.62921
2291,27863.5682,27880.78383,29112.95946,32413.23724,39441.3734
2290,27889.54418,27916.22988,29186.43751,32437.18367,39419.95153
2289,27928.90825,27987.42791,29240.65574,32469.40037,39413.73928
2288,27998.58054,28077.62226,29283.61463,32516.90732,39442.25511
2287,28092.18687,28138.67713,29337.07506,32580.18849,39499.70207
2286,28178.85605,28139.44056,29412.0505,32651.49618,39562.99119
2285,28227.43372,28102.08804,29493.67759,32719.11291,39609.37019
2284,28232.0067,28082.03831,29557.42514,32776.95358,39634.67255
2283,28215.69439,28113.12742,29597.85062,32831.2123,39656.4733
2282,28211.99019,28180.53002,29631.37683,32893.31948,39696.04621
2281,28241.13141,28248.50427,29669.80397,32962.55913,39757.62943
2280,28298.13745,28305.26294,29703.02644,33018.73631,39827.97215
2279,28357.62,28371.36298,29715.28372,33039.19259,39893.55629
2278,28392.22293,28464.55902,29709.94743,33025.93042,39953.1618
2277,28395.69128,28565.55467,29707.07848,33011.57814,40014.24268
2276,28393.0659,28628.08738,29719.63553,33032.80825,40081.952
2275,28422.26534,28625.81327,29743.70578,33097.19502,40153.24306
2274,28497.47914,28584.47138,29773.73227,33179.31564,40219.71751
2273,28592.45704,28561.87129,29816.25646,33248.99577,40275.94384
2272,28667.4339,28596.65584,29880.69993,33297.44185,40325.56147
2271,28711.95213,28680.9382,29961.65846,33333.02607,40376.84211
2270,28752.37122,28780.477,30040.07096,33360.2702,40430.17408
2269,28815.28713,28870.53354,30104.22669,33376.00261,40473.80153
2268,28893.77562,28946.34276,30163.93489,33386.91144,40498.05962
2267,28957.2347,29008.38368,30238.53082,33416.7613,40513.44441
2266,28987.78328,29052.17489,30331.81856,33484.61033,40547.93331
2265,28996.85577,29074.99035,30424.39437,33579.98033,40622.10352
2264,29008.80927,29083.80546,30493.75565,33669.96223,40728.20834
2263,29039.68975,29092.01563,30538.00077,33731.19135,40835.41678
2262,29093.81891,29112.38992,30573.67213,33767.19723,40914.49922
2261,29169.12834,29154.46115,30612.06443,33794.10663,40957.78491
2260,29255.9034,29221.21343,30647.42614,33819.24516,40980.15107
2259,29334.3856,29302.03719,30673.18476,33839.83005,41005.73554
2258,29384.21426,29373.27909,30700.8919,33856.94296,41052.17455
2257,29400.55226,29414.43099,30750.77817,33882.38855,41120.18584
2256,29398.711,29426.19421,30823.28736,33930.29846,41192.49641
2255,29401.76794,29429.89039,30890.69689,34003.8496,41244.4124
2254,29424.63655,29448.99022,30924.10394,34089.20886,41262.38021
2253,29468.33456,29493.33764,30925.91633,34161.62678,41257.53021
2252,29524.77711,29559.1238,30930.54839,34201.7539,41260.49768
2251,29584.75618,29637.78424,30972.30455,34211.79582,41298.90997
2250,29643.3959,29722.29207,31053.63806,34216.41446,41377.09479
2249,29699.92769,29808.76602,31144.35676,34244.4466,41477.20111
2248,29751.95471,29895.75455,31211.00743,34307.38491,41579.26536
2247,29791.61652,29980.63631,31246.60022,34394.35786,41678.08471
2246,29812.72123,30054.82498,31270.63606,34484.91248,41779.7115
2245,29824.16502,30105.72453,31301.28788,34564.14026,41884.18303
2244,29850.52089,30128.74033,31334.20204,34628.56546,41976.48985
2243,29911.19562,30137.8143,31354.3488,34684.37475,42037.90449
2242,29998.65601,30159.49975,31363.24339,34742.63788,42066.08039
2241,30083.90903,30213.1185,31381.88203,34811.58669,42080.84111
2240,30146.43017,30296.74903,31424.32152,34888.15131,42106.57562
2239,30194.2179,30392.11983,31480.53056,34957.78615,42148.08533
2238,30251.30133,30479.76686,31534.09784,35007.13863,42186.46196
2237,30329.75756,30547.89162,31587.91248,35037.89414,42201.78376
2236,30418.00691,30591.67789,31658.13207,35064.67196,42199.35498
2235,30492.55235,30612.14008,31744.1816,35098.31121,42209.80652
2234,30535.9966,30618.16821,31819.26673,35136.29905,42260.44167
2233,30548.14236,30624.88061,31857.39263,35173.38504,42347.11516
2232,30548.7795,30644.95942,31862.23766,35215.84177,42436.71082
2231,30568.18496,30681.71861,31862.83188,35275.78845,42498.24895
2230,30622.08147,30732.14033,31885.91404,35352.44419,42530.93255
2229,30689.52066,30793.59239,31938.98029,35430.91534,42562.18758
2228,30724.97391,30862.22698,32015.34561,35504.91917,42621.08432
2227,30704.03309,30925.68022,32104.89159,35589.50913,42715.31033
2226,30655.42469,30966.46621,32198.20996,35698.58169,42829.63896
2225,30638.33104,30980.69164,32289.37589,35814.97193,42938.16945
2224,30686.77525,30991.18014,32381.59044,35899.55409,43015.36126
2223,30783.31939,31032.20381,32486.65718,35934.72387,43045.29841
2222,30888.01583,31115.06638,32611.02421,35946.74449,43034.57672
2221,30982.57105,31211.89969,32739.21316,35976.25451,43018.15832
2220,31077.84335,31279.62354,32834.42799,36033.89541,43039.71102
2219,31183.95927,31301.12441,32862.25113,36094.4815,43115.07863
2218,31286.8918,31300.51904,32820.78476,36130.30449,43218.50454
2217,31361.25206,31318.85047,32751.06717,36139.30649,43312.84176
2216,31401.07375,31378.72514,32713.90598,36141.52672,43389.32609
